f_avg,delta1,log10_nmse
0.0000,-8.0000,0.004518
0.2092,-8.0000,-1.000882
0.4184,-8.0000,-1.000881
0.6276,-8.0000,-1.000881
0.8368,-8.0000,-1.000880
1.2552,-8.0000,-1.000880
3.1381,-8.0000,-1.000880
1.6736,-8.0000,-1.000880
1.4644,-8.0000,-1.000880
2.3013,-8.0000,-1.000880
1.0460,-8.0000,-1.000880
16.3180,-8.0000,-1.000880
3.7657,-8.0000,-1.000880
3.5565,-8.0000,-1.000880
30.9623,-8.0000,-1.000880
4.6025,-8.0000,-1.000880
3.3473,-8.0000,-1.000880
31.1715,-8.0000,-1.000880
31.5900,-8.0000,-1.000880
31.3808,-8.0000,-1.000880
38.7029,-8.0000,-1.000880
38.9121,-8.0000,-1.000880
30.5439,-8.0000,-1.000880
5.0209,-8.0000,-1.000880
5.2301,-8.0000,-1.000880
2.7197,-8.0000,-1.000880
25.9414,-8.0000,-1.000880
38.2845,-8.0000,-1.000880
5.8577,-8.0000,-1.000880
30.1255,-8.0000,-1.000880
29.7071,-8.0000,-1.000880
15.6904,-8.0000,-1.000880
31.7992,-8.0000,-1.000880
1.8828,-8.0000,-1.000880
2.9289,-8.0000,-1.000880
38.4937,-8.0000,-1.000880
4.8117,-8.0000,-1.000880
7.5314,-8.0000,-1.000880
26.5690,-8.0000,-1.000880
33.2636,-8.0000,-1.000880
18.2008,-8.0000,-1.000880
25.3138,-8.0000,-1.000880
10.4603,-8.0000,-1.000880
27.8243,-8.0000,-1.000880
15.8996,-8.0000,-1.000880
8.3682,-8.0000,-1.000880
34.1004,-8.0000,-1.000880
10.8787,-8.0000,-1.000880
34.3096,-8.0000,-1.000880
6.0669,-8.0000,-1.000880
24.6862,-8.0000,-1.000880
32.4268,-8.0000,-1.000880
16.5272,-8.0000,-1.000880
24.2678,-8.0000,-1.000880
28.2427,-8.0000,-1.000880
22.5941,-8.0000,-1.000880
28.4519,-8.0000,-1.000880
14.4351,-8.0000,-1.000880
39.5397,-8.0000,-1.000880
24.4770,-8.0000,-1.000880
29.0795,-8.0000,-1.000880
26.9874,-8.0000,-1.000880
27.1967,-8.0000,-1.000880
35.1464,-8.0000,-1.000880
32.8452,-8.0000,-1.000880
28.8703,-8.0000,-1.000880
20.2929,-8.0000,-1.000880
20.5021,-8.0000,-1.000880
34.9372,-8.0000,-1.000880
30.3347,-8.0000,-1.000880
36.6109,-8.0000,-1.000880
2.0921,-8.0000,-1.000880
21.3389,-8.0000,-1.000880
37.4477,-8.0000,-1.000880
34.5188,-8.0000,-1.000880
25.1046,-8.0000,-1.000880
35.7741,-8.0000,-1.000880
26.1506,-8.0000,-1.000880
8.7866,-8.0000,-1.000880
34.7280,-8.0000,-1.000880
39.3305,-8.0000,-1.000880
12.3431,-8.0000,-1.000880
17.5732,-8.0000,-1.000880
28.6611,-8.0000,-1.000880
12.9707,-8.0000,-1.000880
26.3598,-8.0000,-1.000880
33.8912,-8.0000,-1.000880
25.5230,-8.0000,-1.000880
16.7364,-8.0000,-1.000880
12.1339,-8.0000,-1.000880
27.4059,-8.0000,-1.000880
4.1841,-8.0000,-1.000880
4.3933,-8.0000,-1.000880
32.2176,-8.0000,-1.000880
32.0084,-8.0000,-1.000880
26.7782,-8.0000,-1.000880
33.6820,-8.0000,-1.000880
7.1130,-8.0000,-1.000880
20.0837,-8.0000,-1.000880
25.7322,-8.0000,-1.000880
36.1925,-8.0000,-1.000880
11.5063,-8.0000,-1.000880
32.6360,-8.0000,-1.000880
14.0167,-8.0000,-1.000880
19.4561,-8.0000,-1.000880
24.8954,-8.0000,-1.000880
