F_AVG,DELTA1,DELTA2,NMSE,log10_NMSE,COMB_QI,COMB_PULSING,COMB_MOD_RATIO
0.0000,-8.0000,-13.0000,1.071124e+00,0.0298,0,0,6.044401
0.0000,-7.7908,-12.8954,1.025363e+00,0.0109,0,0,6.044424
0.0000,-7.5816,-12.7908,1.032475e+00,0.0139,0,0,6.044443
0.0000,-7.3724,-12.6862,1.013769e+00,0.0059,0,0,6.044497
0.0000,-7.1632,-12.5816,1.039123e+00,0.0167,0,0,6.044548
0.0000,-6.9540,-12.4770,1.002906e+00,0.0013,0,0,6.044577
0.0000,-6.7448,-12.3724,1.004225e+00,0.0018,0,0,6.044594
0.0000,-6.5356,-12.2678,1.008450e+00,0.0037,0,0,6.044622
0.0000,-6.3264,-12.1632,1.125055e+00,0.0512,0,0,6.044665
0.0000,-6.1172,-12.0586,9.618411e-01,-0.0169,0,0,6.044714
0.0000,-5.9080,-11.9540,1.013251e+00,0.0057,0,0,6.044756
0.0000,-5.6988,-11.8494,9.815204e-01,-0.0081,0,0,6.044787
0.0000,-5.4896,-11.7448,1.000288e+00,0.0001,0,0,6.044810
0.0000,-5.2804,-11.6402,9.987412e-01,-0.0005,0,0,6.044829
0.0000,-5.0712,-11.5356,1.002866e+00,0.0012,0,0,6.044851
0.0000,-4.8620,-11.4310,1.400167e+00,0.1462,0,0,6.044882
0.0000,-4.6528,-11.3264,1.008749e+00,0.0038,0,0,6.044920
0.0000,-4.4436,-11.2218,1.003408e+00,0.0015,0,0,6.044962
0.0000,-4.2344,-11.1172,1.009100e+00,0.0039,0,0,6.045002
0.0000,-4.0252,-11.0126,1.007309e+00,0.0032,0,0,6.045037
0.0000,-3.8160,-10.9080,1.059805e+00,0.0252,0,0,6.045064
0.0000,-3.6068,-10.8034,1.000871e+00,0.0004,0,0,6.045086
0.0000,-3.3976,-10.6988,1.003281e+00,0.0014,0,0,6.045104
0.0000,-3.1884,-10.5942,9.990150e-01,-0.0004,0,0,6.045120
0.0000,-2.9792,-10.4896,1.014875e+00,0.0064,0,0,6.045141
0.0000,-2.7700,-10.3850,9.746006e-01,-0.0112,0,0,6.045169
0.0000,-2.5608,-10.2804,1.003637e+00,0.0016,0,0,6.045203
0.0000,-2.3516,-10.1758,1.061660e+00,0.0260,0,0,6.045240
0.0000,-2.1424,-10.0712,1.023775e+00,0.0102,0,0,6.045275
0.0000,-1.9332,-9.9666,9.990216e-01,-0.0004,0,0,6.045306
0.0000,-1.7240,-9.8620,9.958474e-01,-0.0018,0,0,6.045330
0.0000,-1.5148,-9.7574,1.009870e+00,0.0043,0,0,6.045348
0.0000,-1.3056,-9.6528,1.056450e+00,0.0238,0,0,6.045362
0.0000,-1.0964,-9.5482,1.005343e+00,0.0023,0,0,6.045374
0.0000,-0.8872,-9.4436,1.004072e+00,0.0018,0,0,6.045386
0.0000,-0.6780,-9.3390,1.044040e+00,0.0187,0,0,6.045405
0.0000,-0.4688,-9.2344,1.014229e+00,0.0061,0,0,6.045430
0.0000,-0.2596,-9.1298,1.000865e+00,0.0004,0,0,6.045460
0.0000,-0.0504,-9.0252,1.003364e+00,0.0015,0,0,6.045491
0.0000,0.1588,-8.9206,1.002858e+00,0.0012,0,0,6.045519
0.0000,0.3680,-8.8160,1.003880e+00,0.0017,0,0,6.045542
0.0000,0.5772,-8.7114,1.005985e+00,0.0026,0,0,6.045558
0.0000,0.7864,-8.6068,9.037977e-01,-0.0439,0,0,6.045568
0.0000,0.9956,-8.5022,1.030623e+00,0.0131,0,0,6.045575
0.0000,1.2048,-8.3976,1.002415e+00,0.0010,0,0,6.045580
0.0000,1.4140,-8.2930,1.049888e+00,0.0211,0,0,6.045585
0.0000,1.6232,-8.1884,9.969073e-01,-0.0013,0,0,6.045595
0.0000,1.8324,-8.0838,1.000617e+00,0.0003,0,0,6.045611
0.0000,2.0416,-7.9792,1.024855e+00,0.0107,0,0,6.045631
0.0000,2.2508,-7.8746,1.004806e+00,0.0021,0,0,6.045654
0.0000,2.4600,-7.7700,1.038139e+00,0.0163,0,0,6.045675
0.0000,2.6692,-7.6654,9.976651e-01,-0.0010,0,0,6.045692
0.0000,2.8784,-7.5608,1.058490e+00,0.0247,0,0,6.045702
0.0000,3.0876,-7.4562,1.010497e+00,0.0045,0,0,6.045708
0.0000,3.2968,-7.3516,1.011778e+00,0.0051,0,0,6.045711
0.0000,3.5060,-7.2470,9.981473e-01,-0.0008,0,0,6.045711
0.0000,3.7152,-7.1424,1.001962e+00,0.0009,0,0,6.045713
0.0000,3.9244,-7.0378,1.003758e+00,0.0016,0,0,6.045716
0.0000,4.1336,-6.9332,1.002535e+00,0.0011,0,0,6.045714
0.0000,4.3428,-6.8286,1.003376e+00,0.0015,0,0,6.045670
0.0000,4.5520,-6.7240,1.005802e+00,0.0025,0,0,6.045672
0.0000,4.7612,-6.6194,1.005810e+00,0.0025,0,0,6.045626
0.0000,4.9704,-6.5148,1.210249e+00,0.0829,0,0,6.045539
