F_AVG,DELTA1,log10_NMSE
32.6360,-8.0000,-2.817945
30.3347,-8.0000,-2.760331
35.7741,-8.0000,-2.888572
29.0795,-8.0000,-2.726506
39.5397,-8.0000,-2.963105
37.4477,-8.0000,-2.922989
39.3305,-8.0000,-2.959234
36.4017,-8.0000,-2.901710
38.0753,-8.0000,-2.935347
32.4268,-8.0000,-2.812919
36.6109,-8.0000,-2.906035
34.9372,-8.0000,-2.870567
37.8661,-8.0000,-2.931253
35.1464,-8.0000,-2.875121
39.1213,-8.0000,-2.955320
34.1004,-8.0000,-2.851976
33.6820,-8.0000,-2.842461
39.7490,-8.0000,-2.966963
31.3808,-8.0000,-2.787173
38.9121,-8.0000,-2.951387
38.4937,-8.0000,-2.943436
35.3556,-8.0000,-2.879637
21.3389,-8.0000,-2.468857
33.4728,-8.0000,-2.837638
22.3849,-8.0000,-2.509747
30.9623,-8.0000,-2.776570
36.8201,-8.0000,-2.910323
37.0293,-8.0000,-2.914578
37.6569,-8.0000,-2.927155
35.5649,-8.0000,-2.884124
32.8452,-8.0000,-2.822926
33.2636,-8.0000,-2.832775
24.4770,-8.0000,-2.585103
29.7071,-8.0000,-2.743644
26.3598,-8.0000,-2.646574
34.3096,-8.0000,-2.856684
34.7280,-8.0000,-2.865976
39.9582,-8.0000,-2.970797
22.5941,-8.0000,-2.517656
37.2385,-8.0000,-2.918796
38.7029,-8.0000,-2.947423
30.7531,-8.0000,-2.771201
35.9833,-8.0000,-2.892983
36.1925,-8.0000,-2.897357
27.6151,-8.0000,-2.684692
32.0084,-8.0000,-2.802748
29.9163,-8.0000,-2.749253
38.2845,-8.0000,-2.939410
27.4059,-8.0000,-2.678485
31.7992,-8.0000,-2.797597
33.0544,-8.0000,-2.827871
30.1255,-8.0000,-2.754816
31.1715,-8.0000,-2.781892
29.2887,-8.0000,-2.732275
27.8243,-8.0000,-2.690832
22.1757,-8.0000,-2.501747
34.5188,-8.0000,-2.861348
29.4979,-8.0000,-2.737982
23.0126,-8.0000,-2.533212
25.7322,-8.0000,-2.626695
26.5690,-8.0000,-2.653064
24.8954,-8.0000,-2.599248
25.5230,-8.0000,-2.619937
28.6611,-8.0000,-2.714828
25.9414,-8.0000,-2.633387
28.4519,-8.0000,-2.708909
15.2720,-8.0000,-2.173054
24.2678,-8.0000,-2.577919
30.5439,-8.0000,-2.765792
31.5900,-8.0000,-2.792403
25.3138,-8.0000,-2.613110
17.7824,-8.0000,-2.309800
26.1506,-8.0000,-2.640010
22.8033,-8.0000,-2.525478
23.4310,-8.0000,-2.548424
33.8912,-8.0000,-2.847244
10.2510,-8.0000,-1.794140
20.7113,-8.0000,-2.443157
26.9874,-8.0000,-2.665901
19.2469,-8.0000,-2.379468
13.5983,-8.0000,-2.066126
24.0586,-8.0000,-2.570660
23.8494,-8.0000,-2.563325
26.7782,-8.0000,-2.659512
28.0335,-8.0000,-2.696913
23.6402,-8.0000,-2.555913
21.9665,-8.0000,-2.493659
20.2929,-8.0000,-2.425510
14.0167,-8.0000,-2.094275
17.5732,-8.0000,-2.299299
21.5481,-8.0000,-2.477220
21.7573,-8.0000,-2.485486
32.2176,-8.0000,-2.807854
20.5021,-8.0000,-2.434389
6.2762,-8.0000,-1.313843
16.1088,-8.0000,-2.221414
19.6653,-8.0000,-2.398235
25.1046,-8.0000,-2.606217
16.7364,-8.0000,-2.255773
15.4812,-8.0000,-2.185433
18.6192,-8.0000,-2.350396
17.1548,-8.0000,-2.277850
15.0628,-8.0000,-2.160470
14.2259,-8.0000,-2.107974
12.1339,-8.0000,-1.958620
27.1967,-8.0000,-2.672215
15.8996,-8.0000,-2.209604
11.9247,-8.0000,-1.941969
16.5272,-8.0000,-2.244490
16.9456,-8.0000,-2.266891
11.2971,-8.0000,-1.889762
14.6444,-8.0000,-2.134674
9.8326,-8.0000,-1.752405
28.2427,-8.0000,-2.702934
20.0837,-8.0000,-2.416531
19.4561,-8.0000,-2.388910
23.2218,-8.0000,-2.540860
13.3891,-8.0000,-2.051653
19.8745,-8.0000,-2.407437
10.8787,-8.0000,-1.852903
12.9707,-8.0000,-2.021869
14.8536,-8.0000,-2.147677
19.0377,-8.0000,-2.369901
21.1297,-8.0000,-2.460393
18.8285,-8.0000,-2.360213
24.6862,-8.0000,-2.592210
20.9205,-8.0000,-2.451830
14.4351,-8.0000,-2.121438
9.6234,-8.0000,-1.730690
28.8703,-8.0000,-2.720696
7.1130,-8.0000,-1.421992
11.0879,-8.0000,-1.871548
12.7615,-8.0000,-2.006533
10.6695,-8.0000,-1.833799
18.2008,-8.0000,-2.330372
8.1590,-8.0000,-1.561121
10.0418,-8.0000,-1.773545
13.8075,-8.0000,-2.080329
5.2301,-8.0000,-1.278779
18.4100,-8.0000,-2.340450
13.1799,-8.0000,-2.036900
17.9916,-8.0000,-2.320156
6.4854,-8.0000,-1.338386
8.5774,-8.0000,-1.612841
7.9498,-8.0000,-1.534300
9.2050,-8.0000,-1.685464
17.3640,-8.0000,-2.288651
7.5314,-8.0000,-1.478944
16.3180,-8.0000,-2.233040
12.5523,-8.0000,-1.990890
8.9958,-8.0000,-1.661911
10.4603,-8.0000,-1.814222
1.8828,-8.0000,-0.460997
9.4142,-8.0000,-1.708381
11.5063,-8.0000,-1.907558
7.3222,-8.0000,-1.450591
8.3682,-8.0000,-1.587310
12.3431,-8.0000,-1.974924
11.7155,-8.0000,-1.924956
5.8577,-8.0000,-1.280386
15.6904,-8.0000,-2.197613
2.3013,-8.0000,-0.466413
6.0669,-8.0000,-1.293631
4.1841,-8.0000,-0.971745
8.7866,-8.0000,-1.637707
0.8368,-8.0000,-0.158795
0.6276,-8.0000,-0.124826
4.3933,-8.0000,-0.943568
4.6025,-8.0000,-0.891117
6.9038,-8.0000,-1.393424
3.5565,-8.0000,-0.759670
3.7657,-8.0000,-0.924299
5.4393,-8.0000,-1.264829
2.9289,-8.0000,-0.810177
2.5105,-8.0000,-0.687870
1.2552,-8.0000,-0.240872
1.4644,-8.0000,-0.255305
7.7406,-8.0000,-1.506885
3.3473,-8.0000,-0.898776
3.9749,-8.0000,-0.697093
5.0209,-8.0000,-0.517056
5.6485,-8.0000,-1.274660
6.6946,-8.0000,-1.365321
4.8117,-8.0000,-0.728604
0.4184,-8.0000,-0.090534
0.0000,-8.0000,-0.039728
3.1381,-8.0000,-0.726523
1.6736,-8.0000,-0.380066
2.7197,-8.0000,-0.719909
1.0460,-8.0000,-0.193391
0.2092,-8.0000,-0.049214
41.2134,-8.0000,-2.993177
2.0921,-8.0000,-0.516428
41.4226,-8.0000,-2.996807
40.5858,-8.0000,-2.982127
43.3054,-8.0000,-3.028438
42.6778,-8.0000,-3.018119
46.6527,-8.0000,-3.079920
41.8410,-8.0000,-3.004020
41.0042,-8.0000,-2.989515
41.6318,-8.0000,-3.000421
40.7950,-8.0000,-2.985833
42.4686,-8.0000,-3.014629
42.8870,-8.0000,-3.021588
42.0502,-8.0000,-3.007577
40.3766,-8.0000,-2.978376
43.5146,-8.0000,-3.031824
5.2301,-7.7895,-1.299320
40.1674,-8.0000,-2.974602
44.1423,-8.0000,-3.041825
5.8577,-7.7895,-1.297390
42.2594,-8.0000,-3.011111
43.0962,-8.0000,-3.025027
19.8745,-7.7895,-2.414921
43.7238,-8.0000,-3.035187
20.0837,-7.7895,-2.424142
20.7113,-7.7895,-2.451158
5.4393,-7.7895,-1.287825
20.9205,-7.7895,-2.459950
10.4603,-7.7895,-1.817456
17.7824,-7.7895,-2.316088
14.8536,-7.7895,-2.152493
11.9247,-7.7895,-1.945616
17.1548,-7.7895,-2.283795
15.0628,-7.7895,-2.165381
10.6695,-7.7895,-1.837083
45.6067,-8.0000,-3.064436
16.1088,-7.7895,-2.226827
21.7573,-7.7895,-2.494139
1.6736,-7.7895,-0.361722
19.6653,-7.7895,-2.405589
18.8285,-7.7895,-2.367087
14.2259,-7.7895,-2.112515
14.6444,-7.7895,-2.139392
20.5021,-7.7895,-2.442260
8.3682,-7.7895,-1.590695
7.5314,-7.7895,-1.483292
9.8326,-7.7895,-1.755538
15.2720,-7.7895,-2.178063
21.9665,-7.7895,-2.502451
15.6904,-7.7895,-2.202825
8.7866,-7.7895,-1.640910
17.3640,-7.7895,-2.294705
15.4812,-7.7895,-2.190545
14.0167,-7.7895,-2.098723
10.0418,-7.7895,-1.776708
18.4100,-7.7895,-2.347085
16.9456,-7.7895,-2.272729
4.6025,-7.7895,-0.945546
21.1297,-7.7895,-2.468646
20.2929,-7.7895,-2.433255
12.9707,-7.7895,-2.025885
23.2218,-7.7895,-2.550477
22.1757,-7.7895,-2.510671
21.5481,-7.7895,-2.485734
26.9874,-7.7895,-2.678180
13.3891,-7.7895,-2.055830
