F_AVG,DELTA_F,NMSE,log10_NMSE,COMB_QI,COMB_PULSING,COMB_MOD_RATIO
0.0000,0.0000,1.014667e+00,0.0063,0,0,6.045521
0.0000,0.2092,9.556647e-01,-0.0197,0,0,6.051156
0.0000,0.4184,9.556603e-01,-0.0197,0,0,6.056887
0.0000,0.6276,9.556574e-01,-0.0197,0,0,6.062768
0.0000,0.8368,9.556582e-01,-0.0197,0,0,6.068811
0.0000,1.0460,9.556585e-01,-0.0197,0,0,6.074913
0.0000,1.2552,9.556588e-01,-0.0197,0,0,6.081114
0.0000,1.4644,9.556566e-01,-0.0197,0,0,6.087276
0.0000,1.6736,9.556587e-01,-0.0197,0,0,6.093353
0.0000,1.8828,9.556578e-01,-0.0197,0,0,6.099220
0.0000,2.0920,9.556559e-01,-0.0197,0,0,6.104764
0.0000,2.3012,9.556564e-01,-0.0197,0,0,6.109833
0.0000,2.5104,9.556579e-01,-0.0197,0,0,6.114216
0.0000,2.7196,9.556588e-01,-0.0197,0,0,6.117702
0.0000,2.9288,9.556584e-01,-0.0197,0,0,6.120099
0.0000,3.1380,9.556581e-01,-0.0197,0,0,6.121142
0.0000,3.3472,9.556576e-01,-0.0197,0,0,6.120591
0.0000,3.5564,9.556577e-01,-0.0197,0,0,6.118218
0.0000,3.7656,9.556579e-01,-0.0197,0,0,6.113821
0.0000,3.9748,9.556580e-01,-0.0197,0,0,6.107235
0.0000,4.1840,9.556583e-01,-0.0197,0,0,6.098347
0.0000,4.3932,9.556586e-01,-0.0197,0,0,6.087111
0.0000,4.6024,9.556589e-01,-0.0197,0,0,6.073566
0.0000,4.8116,9.556589e-01,-0.0197,0,0,6.057848
0.0000,5.0208,9.556588e-01,-0.0197,0,0,6.045521
0.2092,0.0000,2.102849e-02,-1.6772,0,0,6.056887
0.2092,0.2092,2.102849e-02,-1.6772,0,0,6.062768
0.2092,0.4184,1.324326e-01,-0.8780,0,0,6.068811
