F_AVG,DELTA1,DELTA2,DELTA_F,NMSE,log10_NMSE,COMB_QI,COMB_PULSING,COMB_MOD_RATIO
20.0000,-8.0000,-13.0000,0.0000,2.047949e-02,-1.6887,0,0,0.000001
20.0000,-8.0000,-13.0000,0.2092,4.231716e-04,-3.3735,0,0,0.000001
20.0000,-8.0000,-13.0000,0.4184,4.099857e-04,-3.3872,0,0,0.000001
20.0000,-8.0000,-13.0000,0.6276,4.194681e-04,-3.3773,0,0,0.000001
20.0000,-8.0000,-13.0000,0.8368,4.328713e-04,-3.3636,0,0,0.000001
20.0000,-8.0000,-13.0000,1.0460,4.487299e-04,-3.3480,0,0,6.246665
20.0000,-8.0000,-13.0000,1.2552,4.681033e-04,-3.3297,0,0,6.091637
20.0000,-8.0000,-13.0000,1.4644,4.905727e-04,-3.3093,0,0,6.075935
20.0000,-8.0000,-13.0000,1.6736,5.168811e-04,-3.2866,0,0,6.280938
20.0000,-8.0000,-13.0000,1.8828,5.464503e-04,-3.2624,0,0,6.162408
20.0000,-8.0000,-13.0000,2.0920,5.799657e-04,-3.2366,0,0,6.323575
20.0000,-8.0000,-13.0000,2.3012,6.173090e-04,-3.2095,0,0,6.063701
20.0000,-8.0000,-13.0000,2.5104,6.586070e-04,-3.1814,0,0,6.392841
20.0000,-8.0000,-13.0000,2.7196,7.038572e-04,-3.1525,0,0,0.000001
20.0000,-8.0000,-13.0000,2.9288,7.532116e-04,-3.1231,0,0,0.000001
20.0000,-8.0000,-13.0000,3.1380,8.065533e-04,-3.0934,0,0,0.000001
20.0000,-8.0000,-13.0000,3.3472,8.641015e-04,-3.0634,0,0,0.000001
20.0000,-8.0000,-13.0000,3.5564,9.257044e-04,-3.0335,0,0,0.000001
20.0000,-8.0000,-13.0000,3.7656,9.915456e-04,-3.0037,0,0,0.000001
20.0000,-8.0000,-13.0000,3.9748,1.061374e-03,-2.9741,0,0,0.000001
20.0000,-8.0000,-13.0000,4.1840,1.135603e-03,-2.9448,0,0,0.000001
20.0000,-8.0000,-13.0000,4.3932,1.213797e-03,-2.9159,0,0,0.000001
20.0000,-8.0000,-13.0000,4.6024,1.296163e-03,-2.8873,0,0,0.000001
20.0000,-8.0000,-13.0000,4.8116,1.382794e-03,-2.8592,0,0,0.000001
20.0000,-8.0000,-13.0000,5.0208,1.473719e-03,-2.8316,0,0,0.000001
20.0000,-7.7908,-12.8954,0.0000,2.027850e-02,-1.6930,0,0,0.000001
20.0000,-7.7908,-12.8954,0.2092,3.266774e-04,-3.4859,0,0,0.000001
20.0000,-7.7908,-12.8954,0.4184,3.332392e-04,-3.4772,0,0,0.000001
20.0000,-7.7908,-12.8954,0.6276,3.431917e-04,-3.4645,0,0,0.000001
20.0000,-7.7908,-12.8954,0.8368,3.536411e-04,-3.4514,0,0,0.000001
20.0000,-7.7908,-12.8954,1.0460,3.683044e-04,-3.4338,0,0,0.000001
20.0000,-7.7908,-12.8954,1.2552,3.872820e-04,-3.4120,0,0,0.000001
20.0000,-7.7908,-12.8954,1.4644,4.091060e-04,-3.3882,0,0,0.000001
20.0000,-7.7908,-12.8954,1.6736,4.348507e-04,-3.3617,0,0,0.000001
20.0000,-7.7908,-12.8954,1.8828,4.644055e-04,-3.3331,0,0,0.000001
20.0000,-7.7908,-12.8954,2.0920,4.976792e-04,-3.3031,0,0,6.134217
20.0000,-7.7908,-12.8954,2.3012,5.348501e-04,-3.2718,0,0,6.418355
20.0000,-7.7908,-12.8954,2.5104,5.759827e-04,-3.2396,0,0,6.357530
20.0000,-7.7908,-12.8954,2.7196,6.211321e-04,-3.2068,0,0,6.149655
20.0000,-7.7908,-12.8954,2.9288,6.702788e-04,-3.1737,0,0,6.377306
20.0000,-7.7908,-12.8954,3.1380,7.234978e-04,-3.1406,0,0,6.088739
20.0000,-7.7908,-12.8954,3.3472,7.807781e-04,-3.1075,0,0,6.196003
20.0000,-7.7908,-12.8954,3.5564,8.421801e-04,-3.0746,0,0,6.242296
20.0000,-7.7908,-12.8954,3.7656,9.076526e-04,-3.0421,0,0,0.000001
20.0000,-7.7908,-12.8954,3.9748,9.773444e-04,-3.0100,0,0,0.000001
20.0000,-7.7908,-12.8954,4.1840,1.051050e-03,-2.9784,0,0,0.000001
20.0000,-7.7908,-12.8954,4.3932,1.128927e-03,-2.9473,0,0,0.000001
20.0000,-7.7908,-12.8954,4.6024,1.210919e-03,-2.9169,0,0,0.000001
20.0000,-7.7908,-12.8954,4.8116,1.297076e-03,-2.8870,0,0,0.000001
20.0000,-7.7908,-12.8954,5.0208,1.387382e-03,-2.8578,0,0,0.000001
20.0000,-7.5816,-12.7908,0.0000,2.097421e-02,-1.6783,0,0,0.000001
20.0000,-7.5816,-12.7908,0.2092,6.333276e-04,-3.1984,0,0,0.000001
20.0000,-7.5816,-12.7908,0.4184,6.405844e-04,-3.1934,0,0,0.000001
20.0000,-7.5816,-12.7908,0.6276,6.515467e-04,-3.1861,0,0,0.000001
20.0000,-7.5816,-12.7908,0.8368,6.641453e-04,-3.1777,0,0,0.000001
20.0000,-7.5816,-12.7908,1.0460,6.808725e-04,-3.1669,0,0,0.000001
20.0000,-7.5816,-12.7908,1.2552,7.010000e-04,-3.1543,0,0,0.000001
20.0000,-7.5816,-12.7908,1.4644,7.243149e-04,-3.1401,0,0,0.000001
20.0000,-7.5816,-12.7908,1.6736,7.515248e-04,-3.1241,0,0,0.000001
20.0000,-7.5816,-12.7908,1.8828,7.822864e-04,-3.1066,0,0,0.000001
20.0000,-7.5816,-12.7908,2.0920,8.162464e-04,-3.0882,0,0,0.000001
20.0000,-7.5816,-12.7908,2.3012,8.540551e-04,-3.0685,0,0,0.000001
20.0000,-7.5816,-12.7908,2.5104,8.958229e-04,-3.0478,0,0,0.000001
20.0000,-7.5816,-12.7908,2.7196,9.414866e-04,-3.0262,0,0,0.000001
20.0000,-7.5816,-12.7908,2.9288,9.912276e-04,-3.0038,0,0,0.000001
20.0000,-7.5816,-12.7908,3.1380,1.044958e-03,-2.9809,0,0,6.391536
20.0000,-7.5816,-12.7908,3.3472,1.103004e-03,-2.9574,0,0,6.110390
20.0000,-7.5816,-12.7908,3.5564,1.164960e-03,-2.9337,0,0,6.379305
20.0000,-7.5816,-12.7908,3.7656,1.231172e-03,-2.9097,0,0,6.314706
20.0000,-7.5816,-12.7908,3.9748,1.301676e-03,-2.8855,0,0,6.074762
20.0000,-7.5816,-12.7908,4.1840,1.376333e-03,-2.8613,0,0,6.064456
20.0000,-7.5816,-12.7908,4.3932,1.455136e-03,-2.8371,0,0,6.348493
20.0000,-7.5816,-12.7908,4.6024,1.538168e-03,-2.8130,0,0,0.000002
20.0000,-7.5816,-12.7908,4.8116,1.625457e-03,-2.7890,0,0,0.000001
