f_avg,delta1,log10_nmse
30.7531,-8.0000,-1.746554
37.2385,-8.0000,-1.748800
36.8201,-8.0000,-1.748894
30.5439,-8.0000,-1.748759
38.0753,-8.0000,-1.746159
32.6360,-8.0000,-1.748583
34.1004,-8.0000,-1.749053
34.7280,-8.0000,-1.748966
37.4477,-8.0000,-1.747333
31.7992,-8.0000,-1.748603
35.3556,-8.0000,-1.747875
34.5188,-8.0000,-1.748455
35.1464,-8.0000,-1.748416
31.3808,-8.0000,-1.748520
33.2636,-8.0000,-1.747643
33.8912,-8.0000,-1.748635
33.6820,-8.0000,-1.741652
34.9372,-8.0000,-1.745625
35.9833,-8.0000,-1.748871
32.8452,-8.0000,-1.748813
37.8661,-8.0000,-1.748737
36.6109,-8.0000,-1.748615
32.4268,-8.0000,-1.748759
31.1715,-8.0000,-1.748940
36.1925,-8.0000,-1.748694
37.0293,-8.0000,-1.748722
35.5649,-8.0000,-1.748054
33.4728,-8.0000,-1.748228
36.4017,-8.0000,-1.748757
31.5900,-8.0000,-1.748808
33.0544,-8.0000,-1.747730
34.3096,-8.0000,-1.747520
30.3347,-8.0000,-1.748665
35.7741,-8.0000,-1.748783
32.2176,-8.0000,-1.748914
32.0084,-8.0000,-1.746612
30.9623,-8.0000,-1.745007
37.6569,-8.0000,-1.748517
0.0000,-8.0000,0.027560
30.1255,-8.0000,-1.747800
29.9163,-8.0000,-1.746717
29.0795,-8.0000,-2.536608
27.1967,-8.0000,-2.596552
28.8703,-8.0000,-2.513238
29.2887,-8.0000,-2.466982
29.4979,-8.0000,-2.451068
28.4519,-8.0000,-2.552764
29.7071,-8.0000,-2.427320
28.0335,-8.0000,-2.533423
27.6151,-8.0000,-2.500648
27.8243,-8.0000,-2.599104
28.6611,-8.0000,-2.523688
27.4059,-8.0000,-2.575621
26.9874,-8.0000,-2.654434
26.5690,-8.0000,-2.593423
24.6862,-8.0000,-2.689882
25.3138,-8.0000,-2.663334
24.8954,-8.0000,-2.618001
26.7782,-8.0000,-2.687967
26.3598,-8.0000,-2.609065
25.9414,-8.0000,-2.620851
26.1506,-8.0000,-2.630168
25.1046,-8.0000,-2.669356
25.5230,-8.0000,-2.620330
25.7322,-8.0000,-2.643260
23.8494,-8.0000,-2.655012
20.9205,-8.0000,-2.590367
23.2218,-8.0000,-2.608796
21.1297,-8.0000,-2.574161
22.5941,-8.0000,-2.664466
23.6402,-8.0000,-2.619193
18.8285,-8.0000,-2.583784
24.2678,-8.0000,-2.644537
28.2427,-8.0000,-2.548392
23.4310,-8.0000,-2.649173
22.8033,-8.0000,-2.569001
22.1757,-8.0000,-2.584378
19.4561,-8.0000,-2.712536
21.5481,-8.0000,-2.633174
24.0586,-8.0000,-2.588816
24.4770,-8.0000,-2.585575
21.9665,-8.0000,-2.545460
23.0126,-8.0000,-2.632858
22.3849,-8.0000,-2.594171
15.0628,-8.0000,-2.737408
19.8745,-8.0000,-2.649000
0.2092,-8.0000,-1.295946
21.3389,-8.0000,-2.573158
21.7573,-8.0000,-2.548287
20.7113,-8.0000,-2.621688
20.5021,-8.0000,-2.605240
17.5732,-8.0000,-2.686054
18.2008,-8.0000,-2.684525
19.2469,-8.0000,-2.674269
15.6904,-8.0000,-2.697282
20.2929,-8.0000,-2.649637
19.0377,-8.0000,-2.668880
10.4603,-8.0000,-2.711705
20.0837,-8.0000,-2.658775
18.4100,-8.0000,-2.691000
16.1088,-8.0000,-2.706868
13.1799,-8.0000,-2.766010
12.9707,-8.0000,-2.733129
18.6192,-8.0000,-2.703253
16.5272,-8.0000,-2.685585
14.0167,-8.0000,-2.765856
15.8996,-8.0000,-2.706339
11.5063,-8.0000,-2.765031
5.8577,-8.0000,-2.253581
16.9456,-8.0000,-2.685666
19.6653,-8.0000,-2.708962
10.6695,-8.0000,-2.726004
11.2971,-8.0000,-2.748802
17.1548,-8.0000,-2.687764
16.3180,-8.0000,-2.690681
15.4812,-8.0000,-2.696996
9.8326,-8.0000,-2.767431
14.2259,-8.0000,-2.693554
14.6444,-8.0000,-2.694696
1.8828,-8.0000,-2.848265
14.4351,-8.0000,-2.690532
8.1590,-8.0000,-2.752374
17.9916,-8.0000,-2.711075
11.0879,-8.0000,-2.780967
8.3682,-8.0000,-2.719490
0.4184,-8.0000,-2.043669
9.6234,-8.0000,-2.785579
11.9247,-8.0000,-2.795005
17.7824,-8.0000,-2.661637
12.3431,-8.0000,-2.768037
17.3640,-8.0000,-2.629327
12.5523,-8.0000,-2.803090
10.2510,-8.0000,-2.750126
8.9958,-8.0000,-2.752773
13.8075,-8.0000,-2.808463
7.7406,-8.0000,-2.392681
11.7155,-8.0000,-2.665489
13.3891,-8.0000,-2.757412
6.6946,-8.0000,-2.440570
5.4393,-8.0000,-2.264925
2.7197,-8.0000,-2.128221
15.2720,-8.0000,-2.719869
6.0669,-8.0000,-2.461083
7.5314,-8.0000,-2.595905
12.7615,-8.0000,-2.774057
14.8536,-8.0000,-2.713534
3.3473,-8.0000,-1.803272
4.8117,-8.0000,-2.141762
6.2762,-8.0000,-2.109789
5.6485,-8.0000,-2.331709
2.3013,-8.0000,-2.893728
0.6276,-8.0000,-1.686868
16.7364,-8.0000,-2.716459
5.2301,-8.0000,-2.096788
6.4854,-8.0000,-2.563028
7.1130,-8.0000,-2.511432
3.1381,-8.0000,-1.639986
2.0921,-8.0000,-2.797479
7.3222,-8.0000,-2.567542
2.9289,-8.0000,-2.016742
0.8368,-8.0000,-2.022824
9.4142,-8.0000,-2.776001
13.5983,-8.0000,-2.735569
12.1339,-8.0000,-2.718515
5.0209,-8.0000,-2.331296
4.3933,-8.0000,-2.442071
9.2050,-8.0000,-2.741372
3.9749,-8.0000,-2.673001
1.0460,-8.0000,-2.822042
3.7657,-8.0000,-2.364435
1.4644,-8.0000,-2.470000
2.5105,-8.0000,-2.784612
10.8787,-8.0000,-2.676109
6.9038,-8.0000,-2.527963
10.0418,-8.0000,-2.714277
8.5774,-8.0000,-2.705787
7.9498,-8.0000,-2.693014
1.2552,-8.0000,-2.765486
1.6736,-8.0000,-2.933662
8.7866,-8.0000,-2.572023
4.1841,-8.0000,-2.416818
4.6025,-8.0000,-2.113553
3.5565,-8.0000,-2.163304
42.0502,-8.0000,-1.747784
46.6527,-8.0000,-1.748182
43.7238,-8.0000,-1.748631
43.9331,-8.0000,-1.748346
44.1423,-8.0000,-1.748272
43.5146,-8.0000,-1.745412
43.0962,-8.0000,-1.748372
42.4686,-8.0000,-1.748278
42.2594,-8.0000,-1.748073
43.3054,-8.0000,-1.740708
42.6778,-8.0000,-1.748608
42.8870,-8.0000,-1.748035
45.1883,-8.0000,-1.747980
44.3515,-8.0000,-1.748680
0.0000,-7.7895,-0.031508
0.2092,-7.7895,-1.585376
0.4184,-7.7895,-1.726664
0.8368,-7.7895,-2.805392
1.6736,-7.7895,-2.608788
4.3933,-7.7895,-2.699091
0.6276,-7.7895,-1.768324
3.1381,-7.7895,-2.443383
1.4644,-7.7895,-2.828402
5.6485,-7.7895,-2.722821
1.2552,-7.7895,-2.773982
24.6862,-7.7895,-2.662916
