f_avg,delta1,log10_nmse
0.0000,-8.0000,0.000569
0.4184,-8.0000,-1.517204
0.2092,-8.0000,-1.517209
3.1381,-8.0000,-1.517198
2.3013,-8.0000,-1.517198
1.6736,-8.0000,-1.517199
0.6276,-8.0000,-1.517202
0.8368,-8.0000,-1.517201
1.4644,-8.0000,-1.517199
1.0460,-8.0000,-1.517200
1.2552,-8.0000,-1.517200
9.8326,-8.0000,-1.517197
10.6695,-8.0000,-1.517197
6.4854,-8.0000,-1.517197
19.0377,-8.0000,-1.517197
12.5523,-8.0000,-1.517197
6.0669,-8.0000,-1.517197
12.7615,-8.0000,-1.517197
2.7197,-8.0000,-1.517198
22.3849,-8.0000,-1.517197
16.7364,-8.0000,-1.517197
14.2259,-8.0000,-1.517197
10.0418,-8.0000,-1.517197
2.9289,-8.0000,-1.517198
2.5105,-8.0000,-1.517198
21.5481,-8.0000,-1.517197
1.8828,-8.0000,-1.517198
24.6862,-8.0000,-1.517197
3.9749,-8.0000,-1.517198
24.8954,-8.0000,-1.517197
10.2510,-8.0000,-1.517197
8.3682,-8.0000,-1.517197
24.4770,-8.0000,-1.517197
11.0879,-8.0000,-1.517197
13.1799,-8.0000,-1.517197
12.1339,-8.0000,-1.517197
25.1046,-8.0000,-1.517197
7.7406,-8.0000,-1.517197
24.0586,-8.0000,-1.517197
7.5314,-8.0000,-1.517197
16.9456,-8.0000,-1.517197
5.6485,-8.0000,-1.517197
12.3431,-8.0000,-1.517197
9.6234,-8.0000,-1.517197
20.9205,-8.0000,-1.517197
2.0921,-8.0000,-1.517198
10.8787,-8.0000,-1.517197
3.5565,-8.0000,-1.517198
23.2218,-8.0000,-1.517197
14.0167,-8.0000,-1.517197
5.0209,-8.0000,-1.517198
7.3222,-8.0000,-1.517197
4.6025,-8.0000,-1.517197
19.8745,-8.0000,-1.517197
14.6444,-8.0000,-1.517197
14.4351,-8.0000,-1.517197
7.1130,-8.0000,-1.517197
20.5021,-8.0000,-1.517197
14.8536,-8.0000,-1.517197
4.1841,-8.0000,-1.517198
16.5272,-8.0000,-1.517197
16.3180,-8.0000,-1.517197
15.2720,-8.0000,-1.517197
13.5983,-8.0000,-1.517197
10.4603,-8.0000,-1.517197
17.7824,-8.0000,-1.517197
11.5063,-8.0000,-1.517197
8.9958,-8.0000,-1.517197
20.0837,-8.0000,-1.517197
24.2678,-8.0000,-1.517197
23.8494,-8.0000,-1.517197
21.3389,-8.0000,-1.517197
3.7657,-8.0000,-1.517198
21.7573,-8.0000,-1.517197
25.3138,-8.0000,-1.517197
11.7155,-8.0000,-1.517197
16.1088,-8.0000,-1.517197
6.6946,-8.0000,-1.517197
19.2469,-8.0000,-1.517197
15.4812,-8.0000,-1.517197
26.1506,-8.0000,-1.517197
5.2301,-8.0000,-1.517197
13.3891,-8.0000,-1.517197
21.9665,-8.0000,-1.517197
18.8285,-8.0000,-1.517197
23.0126,-8.0000,-1.517197
11.9247,-8.0000,-1.517197
17.3640,-8.0000,-1.517197
19.4561,-8.0000,-1.517197
3.3473,-8.0000,-1.517198
20.2929,-8.0000,-1.517197
8.1590,-8.0000,-1.517197
5.8577,-8.0000,-1.517197
9.4142,-8.0000,-1.517197
