gamma21,f_avg,delta1,log10_nmse
10,4.0816,-0.6154,-1.747673
10,0.0000,3.0769,0.000129
0.1,3.0612,-0.6154,-1.856773
0.1,0.0000,-1.4359,0.004593
10,6.1224,-1.4359,-1.759344
0.1,0.0000,-2.2564,0.004545
0.01,0.0000,5.5385,0.000140
0.1,4.0816,-1.4359,-1.842641
0.1,2.0408,1.8462,-1.748166
0.1,0.0000,-8.0000,0.003159
0.01,4.0816,1.0256,-2.289583
0.01,1.0204,1.4359,-3.360882
0.01,3.0612,2.2564,-0.912275
0.1,7.1429,2.6667,-1.765627
10,11.2245,-2.6667,-1.765627
10,14.2857,-3.0769,-1.749336
1,4.0816,3.0769,-1.749336
0.01,5.1020,-2.6667,-2.298800
0.1,9.1837,-3.4872,-1.769358
10,18.3673,3.4872,-1.769359
1,3.0612,3.4872,-1.769358
0.01,6.1224,-3.0769,-2.105471
0.1,4.0816,-3.8974,-1.767027
0.01,11.2245,-3.4872,-1.760690
1,4.0816,4.3077,-1.751330
10,6.1224,4.3077,-1.751330
10,22.4490,-4.3077,-1.751330
1,0.0000,6.7692,-0.000314
1,1.0204,4.7179,-1.770646
0.1,1.0204,2.2564,-1.765751
10,16.3265,-5.1282,-1.767068
0.01,13.2653,-5.1282,-1.760365
10,2.0408,5.1282,-1.767069
1,5.1020,-3.0769,-1.749336
0.01,3.0612,3.0769,-1.747822
0.1,7.1429,2.2564,-1.859315
0.1,10.2041,5.1282,-1.767067
10,12.2449,-0.6154,-1.080447
10,18.3673,-3.4872,-1.769359
0.01,1.0204,-1.8462,-3.014276
10,21.4286,-5.5385,-1.753709
10,23.4694,-5.9487,-1.771293
10,15.3061,5.9487,-1.771294
0.1,9.1837,-2.2564,-0.390354
10,6.1224,-5.9487,-1.771294
10,26.5306,5.9487,-1.771293
10,35.7143,-4.3077,-1.599141
10,18.3673,-1.4359,-0.234883
1,15.3061,6.3590,-1.766495
10,46.9388,-3.8974,-1.175432
0.1,11.2245,-6.7692,-1.756215
10,29.5918,-2.2564,-1.233308
10,19.3878,-1.8462,-0.814211
10,30.6122,-1.8462,-3.357382
0.01,17.3469,-6.7692,-1.749835
10,44.8980,-5.5385,-0.571182
100,33.6735,-7.1795,-1.771670
0.01,6.1224,3.4872,-1.762893
0.01,21.4286,-6.3590,-1.759479
100,30.6122,7.1795,-1.771670
0.1,11.2245,-1.0256,-3.220359
1,9.1837,4.7179,-1.770649
100,9.1837,-8.0000,-1.758642
1,19.3878,-0.6154,-3.330792
0.1,27.5510,-6.7692,-1.756211
100,50.0000,-7.5897,-1.765511
100,20.4082,5.9487,-2.515097
1,35.7143,-8.0000,-1.758635
10,47.9592,-2.2564,-3.346700
10,46.9388,-1.8462,-3.361593
10,45.9184,-7.5897,-1.765511
0.1,12.2449,4.7179,-2.219187
0.01,15.3061,-0.6154,-3.190021
