gamma21,f_avg,delta1,log10_nmse
1.8,12.8571,-3.0769,-1.762535
1.4,13.6735,-3.0769,-1.762535
0.2,10.0000,-3.4872,-1.782603
1.8,14.0816,-3.4872,-1.782604
1.4,12.0408,-3.8974,-1.780419
0.6,13.2653,-3.8974,-1.780419
0.6,12.8571,-3.8974,-1.780419
0.2,10.0000,-3.8974,-1.780419
0.2,14.0816,-3.8974,-1.780419
1.0,13.2653,-3.8974,-1.780419
2.2,11.2245,-3.8974,-1.780419
1.4,13.2653,-3.8974,-1.780419
0.2,13.6735,-3.8974,-1.780419
1.4,15.3061,-4.3077,-1.764599
0.2,11.6327,-4.3077,-1.764598
1.4,16.1224,-4.3077,-1.764599
1.4,10.0000,4.3077,-1.764598
0.6,13.2653,-4.7179,-1.783809
0.6,11.6327,-4.7179,-1.783809
0.6,12.0408,4.3077,-2.040917
1.8,10.4082,4.7179,-1.783809
1.4,19.3878,-4.7179,-1.783809
1.4,10.4082,-2.2564,-0.169280
1.8,21.0204,-5.1282,-1.780473
1.8,14.0816,5.1282,-1.780472
2.2,16.9388,-5.1282,-1.780472
1.8,10.0000,-0.6154,-0.431999
0.6,14.4898,-5.1282,-1.780472
2.2,21.4286,-5.5385,-1.767045
0.6,21.0204,-5.1282,-1.780473
1.4,18.5714,-5.5385,-1.767045
1.4,10.4082,-5.5385,-1.767052
0.2,14.4898,-5.5385,-1.767046
2.2,10.4082,-0.2051,-1.771299
1.8,14.4898,-5.5385,-1.767046
1.4,11.6327,-0.2051,-3.296105
1.0,16.9388,-5.5385,-1.767045
0.6,11.6327,3.8974,-1.994095
1.0,14.8980,5.5385,-1.228188
0.6,10.0000,-5.9487,-1.784400
1.8,23.0612,-5.5385,-1.767048
1.4,14.0816,-5.9487,-1.784401
2.2,16.1224,-1.4359,-3.355137
0.6,15.3061,-5.9487,-1.784401
0.6,20.2041,-5.9487,-1.784400
2.2,14.4898,5.9487,-1.784401
1.4,12.8571,3.8974,-1.364527
0.6,21.8367,-5.9487,-1.784400
