KAPPA,F_AVG,DELTA1,DELTA2,log10_NMSE,COMB_QI
9.0000,0.0000,-8.0000,5.0000,2.6603,0
9.0000,0.0000,-7.6310,5.1845,0.0272,0
9.0000,0.0000,-7.2620,5.3690,0.0022,0
9.0000,0.0000,-6.8930,5.5535,0.0010,0
9.0000,0.0000,-6.5240,5.7380,0.0510,0
9.0000,0.0000,-6.1550,5.9225,-0.0155,0
9.0000,0.0000,-5.7860,6.1070,-0.0069,0
9.0000,0.0000,-5.4170,6.2915,0.0052,0
9.0000,0.0000,-5.0480,6.4760,0.0055,0
9.0000,0.0000,-4.6790,6.6605,0.0041,0
9.0000,0.0000,-4.3100,6.8450,0.0005,0
9.0000,0.0000,-3.9410,7.0295,0.0028,0
9.0000,0.0000,-3.5720,7.2140,-0.0012,0
9.0000,0.0000,-3.2030,7.3985,-0.0005,0
9.0000,0.0000,-2.8340,7.5830,0.0358,0
9.0000,0.0000,-2.4650,7.7675,0.0041,0
9.0000,0.0000,-2.0960,7.9520,0.0055,0
9.0000,0.0000,-1.7270,8.1365,0.0246,0
9.0000,0.0000,-1.3580,8.3210,0.0012,0
9.0000,0.0000,-0.9890,8.5055,0.0275,0
9.0000,0.0000,-0.6200,8.6900,-0.0090,0
9.0000,0.0000,-0.2510,8.8745,0.0065,0
9.0000,0.0000,0.1180,9.0590,-0.0156,0
9.0000,0.0000,0.4870,9.2435,0.0168,0
9.0000,0.0000,0.8560,9.4280,0.0028,0
9.0000,0.0000,1.2250,9.6125,0.0045,0
9.0000,0.0000,1.5940,9.7970,0.0266,0
9.0000,0.0000,1.9630,9.9815,0.0131,0
9.0000,0.0000,2.3320,10.1660,0.0029,0
9.0000,0.0000,2.7010,10.3505,0.0056,0
9.0000,0.0000,3.0700,10.5350,-0.0064,0
9.0000,0.0000,3.4390,10.7195,0.0037,0
9.0000,0.0000,3.8080,10.9040,-0.0196,0
9.0000,0.0000,4.1770,11.0885,0.0299,0
9.0000,0.0000,4.5460,11.2730,0.0022,0
9.0000,0.0000,4.9150,11.4575,0.0028,0
9.0000,0.0000,5.2840,11.6420,-0.0003,0
9.0000,0.0000,5.6530,11.8265,0.0029,0
9.0000,0.0000,6.0220,12.0110,0.2106,0
9.0000,0.0000,6.3910,12.1955,0.1103,0
9.0000,0.0000,6.7600,12.3800,-0.0129,0
9.0000,0.0000,7.1290,12.5645,0.0873,0
9.0000,0.0000,7.4980,12.7490,0.0024,0
9.0000,0.0000,7.8670,12.9335,-0.0111,0
9.0000,0.3690,-8.0000,5.0000,-1.6887,0
9.0000,0.3690,-7.6310,5.1845,-1.6823,0
9.0000,0.3690,-7.2620,5.3690,-1.6926,0
9.0000,0.3690,-6.8930,5.5535,-1.6775,0
9.0000,0.3690,-6.5240,5.7380,-1.6924,0
9.0000,0.3690,-6.1550,5.9225,-1.6846,0
9.0000,0.3690,-5.7860,6.1070,-1.6845,0
9.0000,0.3690,-5.4170,6.2915,-1.6917,0
9.0000,0.3690,-5.0480,6.4760,-1.6773,0
9.0000,0.3690,-4.6790,6.6605,-1.6914,0
9.0000,0.3690,-4.3100,6.8450,-1.6815,0
9.0000,0.3690,-3.9410,7.0295,-1.6877,0
9.0000,0.3690,-3.5720,7.2140,-1.6876,0
9.0000,0.3690,-3.2030,7.3985,-1.6785,0
9.0000,0.3690,-2.8340,7.5830,-1.6905,0
9.0000,0.3690,-2.4650,7.7675,-1.6775,0
9.0000,0.3690,-2.0960,7.9520,-1.6840,0
9.0000,0.3690,-1.7270,8.1365,-1.6829,0
9.0000,0.3690,-1.3580,8.3210,-1.6797,0
9.0000,0.3690,-0.9890,8.5055,-1.6773,0
9.0000,0.3690,-0.6200,8.6900,-1.2939,0
9.0000,0.3690,-0.2510,8.8745,-1.2657,0
9.0000,0.3690,0.1180,9.0590,-1.4702,0
9.0000,0.3690,0.4870,9.2435,-1.5935,0
9.0000,0.3690,0.8560,9.4280,-1.6454,0
9.0000,0.3690,1.2250,9.6125,-1.6769,0
9.0000,0.3690,1.5940,9.7970,-1.6858,0
9.0000,0.3690,1.9630,9.9815,-1.6782,0
9.0000,0.3690,2.3320,10.1660,-1.6839,0
9.0000,0.3690,2.7010,10.3505,-1.6870,0
9.0000,0.3690,3.0700,10.5350,-1.6799,0
9.0000,0.3690,3.4390,10.7195,-1.6901,0
9.0000,0.3690,3.8080,10.9040,-1.6780,0
9.0000,0.3690,4.1770,11.0885,-1.6903,0
9.0000,0.3690,4.5460,11.2730,-1.6852,0
9.0000,0.3690,4.9150,11.4575,-1.6827,0
9.0000,0.3690,5.2840,11.6420,-1.6924,0
9.0000,0.3690,5.6530,11.8265,-1.6772,0
9.0000,0.3690,6.0220,12.0110,-1.6919,0
9.0000,0.3690,6.3910,12.1955,-1.6837,0
9.0000,0.3690,6.7600,12.3800,-1.6873,0
9.0000,0.3690,7.1290,12.5645,-1.6905,0
9.0000,0.3690,7.4980,12.7490,-1.6779,0
9.0000,0.3690,7.8670,12.9335,-1.6937,0
9.0000,0.7380,-8.0000,5.0000,-1.6887,0
9.0000,0.7380,-7.6310,5.1845,-1.6823,0
9.0000,0.7380,-7.2620,5.3690,-1.6926,0
9.0000,0.7380,-6.8930,5.5535,-1.6775,0
9.0000,0.7380,-6.5240,5.7380,-1.6924,0
9.0000,0.7380,-6.1550,5.9225,-1.6846,0
9.0000,0.7380,-5.7860,6.1070,-1.6845,0
9.0000,0.7380,-5.4170,6.2915,-1.6917,0
9.0000,0.7380,-5.0480,6.4760,-1.6773,0
9.0000,0.7380,-4.6790,6.6605,-1.6914,0
9.0000,0.7380,-4.3100,6.8450,-1.6815,0
9.0000,0.7380,-3.9410,7.0295,-1.6877,0
9.0000,0.7380,-3.5720,7.2140,-1.6876,0
9.0000,0.7380,-3.2030,7.3985,-1.6786,0
