KAPPA,F_AVG,DELTA1,DELTA2,NMSE,log10_NMSE,COMB_QI,COMB_PULSING,COMB_MOD_RATIO
-9.0000,0.0000,-8.0000,-13.0000,1.053930e+00,0.0228,0,0,6.044401
-9.0000,0.0000,-7.6310,-12.8155,1.005875e+00,0.0025,0,0,6.044457
-9.0000,0.0000,-7.2620,-12.6310,9.989101e-01,-0.0005,0,0,6.044500
-9.0000,0.0000,-6.8930,-12.4465,1.038425e+00,0.0164,0,0,6.044578
-9.0000,0.0000,-6.5240,-12.2620,9.784210e-01,-0.0095,0,0,6.044654
-9.0000,0.0000,-6.1550,-12.0775,1.006311e+00,0.0027,0,0,6.044683
-9.0000,0.0000,-5.7860,-11.8930,1.025726e+00,0.0110,0,0,6.044771
-9.0000,0.0000,-5.4170,-11.7085,1.012413e+00,0.0054,0,0,6.044808
-9.0000,0.0000,-5.0480,-11.5240,1.016444e+00,0.0071,0,0,6.044875
-9.0000,0.0000,-4.6790,-11.3395,1.003858e+00,0.0017,0,0,6.044929
-9.0000,0.0000,-4.3100,-11.1550,1.098684e+00,0.0409,0,0,6.044975
-9.0000,0.0000,-3.9410,-10.9705,1.020344e+00,0.0087,0,0,6.045041
-9.0000,0.0000,-3.5720,-10.7860,1.062788e+00,0.0264,0,0,6.045072
-9.0000,0.0000,-3.2030,-10.6015,9.861100e-01,-0.0061,0,0,6.045144
-9.0000,0.0000,-2.8340,-10.4170,1.239845e+00,0.0934,0,0,6.045163
-9.0000,0.0000,-2.4650,-10.2325,9.967620e-01,-0.0014,0,0,6.045240
-9.0000,0.0000,-2.0960,-10.0480,1.000317e+00,0.0001,0,0,6.045251
-9.0000,0.0000,-1.7270,-9.8635,1.004649e+00,0.0020,0,0,6.045330
-9.0000,0.0000,-1.3580,-9.6790,1.020485e+00,0.0088,0,0,6.045334
-9.0000,0.0000,-0.9890,-9.4945,1.035928e+00,0.0153,0,0,6.045411
-9.0000,0.0000,-0.6200,-9.3100,7.711876e+01,1.8872,0,0,6.045409
-9.0000,0.0000,-0.2510,-9.1255,9.997521e-01,-0.0001,0,0,6.045486
-9.0000,0.0000,0.1180,-8.9410,1.828539e+00,0.2621,0,0,6.045480
-9.0000,0.0000,0.4870,-8.7565,1.009789e+00,0.0042,0,0,6.045553
-9.0000,0.0000,0.8560,-8.5720,1.015583e+00,0.0067,0,0,6.045540
-9.0000,0.0000,1.2250,-8.3875,1.000727e+00,0.0003,0,0,6.045609
-9.0000,0.0000,1.5940,-8.2030,1.001830e+00,0.0008,0,0,6.045593
-9.0000,0.0000,1.9630,-8.0185,1.008769e+00,0.0038,0,0,6.045658
-9.0000,0.0000,2.3320,-7.8340,1.053402e+00,0.0226,0,0,6.045635
-9.0000,0.0000,2.7010,-7.6495,1.002584e+00,0.0011,0,0,6.045695
-9.0000,0.0000,3.0700,-7.4650,1.022248e+00,0.0096,0,0,6.045668
-9.0000,0.0000,3.4390,-7.2805,1.002892e+00,0.0013,0,0,6.045715
