f_avg,delta1,log10_nmse
0.0000,-8.0000,0.000075
15.2720,-8.0000,-1.618259
16.3180,-8.0000,-1.618259
0.8368,-8.0000,-1.618259
19.4561,-8.0000,-1.618259
26.9874,-8.0000,-1.618259
17.9916,-8.0000,-1.618259
26.3598,-8.0000,-1.618259
38.4937,-8.0000,-1.618259
29.2887,-8.0000,-1.618259
17.7824,-8.0000,-1.618259
17.5732,-8.0000,-1.618259
22.8033,-8.0000,-1.618259
4.6025,-8.0000,-1.618259
18.8285,-8.0000,-1.618259
15.0628,-8.0000,-1.618259
24.0586,-8.0000,-1.618259
13.8075,-8.0000,-1.618259
32.8452,-8.0000,-1.618259
24.2678,-8.0000,-1.618259
4.8117,-8.0000,-1.618259
6.4854,-8.0000,-1.618259
36.4017,-8.0000,-1.618259
5.8577,-8.0000,-1.618259
29.4979,-8.0000,-1.618259
32.0084,-8.0000,-1.618259
15.6904,-8.0000,-1.618259
0.4184,-8.0000,-1.618259
35.9833,-8.0000,-1.618259
6.0669,-8.0000,-1.618259
15.4812,-8.0000,-1.618259
30.3347,-8.0000,-1.618259
3.9749,-8.0000,-1.618259
20.2929,-8.0000,-1.618259
37.6569,-8.0000,-1.618259
18.4100,-8.0000,-1.618259
19.2469,-8.0000,-1.618259
35.1464,-8.0000,-1.618259
39.3305,-8.0000,-1.618259
22.1757,-8.0000,-1.618259
37.4477,-8.0000,-1.618259
28.8703,-8.0000,-1.618259
20.0837,-8.0000,-1.618259
32.4268,-8.0000,-1.618259
1.0460,-8.0000,-1.618259
25.5230,-8.0000,-1.618259
28.2427,-8.0000,-1.618259
24.6862,-8.0000,-1.618259
25.3138,-8.0000,-1.618259
35.3556,-8.0000,-1.618259
33.4728,-8.0000,-1.618259
28.6611,-8.0000,-1.618259
28.0335,-8.0000,-1.618259
29.0795,-8.0000,-1.618259
18.2008,-8.0000,-1.618259
12.7615,-8.0000,-1.618259
20.9205,-8.0000,-1.618259
10.6695,-8.0000,-1.618259
37.8661,-8.0000,-1.618259
8.1590,-8.0000,-1.618259
25.9414,-8.0000,-1.618259
8.5774,-8.0000,-1.618259
31.3808,-8.0000,-1.618259
37.0293,-8.0000,-1.618259
31.1715,-8.0000,-1.618259
22.5941,-8.0000,-1.618259
38.0753,-8.0000,-1.618259
14.0167,-8.0000,-1.618259
14.8536,-8.0000,-1.618259
10.8787,-8.0000,-1.618259
19.6653,-8.0000,-1.618259
36.8201,-8.0000,-1.618259
2.9289,-8.0000,-1.618259
9.2050,-8.0000,-1.618259
5.0209,-8.0000,-1.618259
24.8954,-8.0000,-1.618259
32.6360,-8.0000,-1.618259
26.7782,-8.0000,-1.618259
36.1925,-8.0000,-1.618259
17.3640,-8.0000,-1.618259
37.2385,-8.0000,-1.618259
7.1130,-8.0000,-1.618259
12.5523,-8.0000,-1.618259
6.9038,-8.0000,-1.618259
1.6736,-8.0000,-1.618259
39.1213,-8.0000,-1.618259
25.7322,-8.0000,-1.618259
33.6820,-8.0000,-1.618259
9.4142,-8.0000,-1.618259
34.1004,-8.0000,-1.618259
16.7364,-8.0000,-1.618259
34.7280,-8.0000,-1.618259
36.6109,-8.0000,-1.618259
15.8996,-8.0000,-1.618259
35.7741,-8.0000,-1.618259
28.4519,-8.0000,-1.618259
1.8828,-8.0000,-1.618259
12.3431,-8.0000,-1.618259
21.7573,-8.0000,-1.618259
39.9582,-8.0000,-2.013039
27.1967,-8.0000,-1.618259
7.5314,-8.0000,-1.618259
19.0377,-8.0000,-1.618259
14.6444,-8.0000,-1.618259
27.4059,-8.0000,-1.618259
23.2218,-8.0000,-1.618259
26.1506,-8.0000,-1.618259
2.0921,-8.0000,-1.618259
5.4393,-8.0000,-1.618259
2.5105,-8.0000,-1.618259
23.6402,-8.0000,-1.618259
30.7531,-8.0000,-1.618259
11.2971,-8.0000,-1.618259
30.9623,-8.0000,-1.618259
16.1088,-8.0000,-1.618259
6.6946,-8.0000,-1.618259
1.2552,-8.0000,-1.618259
7.7406,-8.0000,-1.618259
7.9498,-8.0000,-1.618259
13.5983,-8.0000,-1.618259
10.0418,-8.0000,-1.618259
29.9163,-8.0000,-1.618259
11.5063,-8.0000,-1.618259
22.3849,-8.0000,-1.618259
31.5900,-8.0000,-1.618259
5.6485,-8.0000,-1.618259
35.5649,-8.0000,-1.618259
33.8912,-8.0000,-1.618259
34.3096,-8.0000,-1.618259
27.8243,-8.0000,-1.618259
23.0126,-8.0000,-1.618259
26.5690,-8.0000,-1.618259
25.1046,-8.0000,-1.618259
21.3389,-8.0000,-1.618259
0.2092,-8.0000,-1.618259
30.1255,-8.0000,-1.618259
12.9707,-8.0000,-1.618259
5.2301,-8.0000,-1.618259
38.7029,-8.0000,-1.618259
19.8745,-8.0000,-1.618259
16.5272,-8.0000,-1.618259
32.2176,-8.0000,-1.618259
20.5021,-8.0000,-1.618259
9.6234,-8.0000,-1.618259
7.3222,-8.0000,-1.618259
30.5439,-8.0000,-1.618259
33.2636,-8.0000,-1.618259
14.4351,-8.0000,-1.618259
3.7657,-8.0000,-1.618259
38.9121,-8.0000,-1.618259
16.9456,-8.0000,-1.618259
34.5188,-8.0000,-1.618259
13.3891,-8.0000,-1.618259
18.6192,-8.0000,-1.618259
9.8326,-8.0000,-1.618259
29.7071,-8.0000,-1.618259
3.5565,-8.0000,-1.618259
17.1548,-8.0000,-1.618259
38.2845,-8.0000,-1.618259
10.2510,-8.0000,-1.618259
0.6276,-8.0000,-1.618259
23.8494,-8.0000,-1.618259
31.7992,-8.0000,-1.618259
39.7490,-8.0000,-1.618259
21.1297,-8.0000,-1.618259
4.3933,-8.0000,-1.618259
2.7197,-8.0000,-1.618259
10.4603,-8.0000,-1.618259
33.0544,-8.0000,-1.618259
23.4310,-8.0000,-1.618259
27.6151,-8.0000,-1.618259
8.7866,-8.0000,-1.618259
11.7155,-8.0000,-1.618259
2.3013,-8.0000,-1.618259
6.2762,-8.0000,-1.618259
11.9247,-8.0000,-1.618259
13.1799,-8.0000,-1.618259
8.9958,-8.0000,-1.618259
8.3682,-8.0000,-1.618259
20.7113,-8.0000,-1.618259
34.9372,-8.0000,-1.618259
3.1381,-8.0000,-1.618259
12.1339,-8.0000,-1.618259
11.0879,-8.0000,-1.618259
14.2259,-8.0000,-1.618259
39.5397,-8.0000,-1.618259
21.9665,-8.0000,-1.618259
24.4770,-8.0000,-1.618259
3.3473,-8.0000,-1.618259
4.1841,-8.0000,-1.618259
21.5481,-8.0000,-1.618259
1.4644,-8.0000,-1.618259
0.0000,-7.7895,0.000075
40.1674,-8.0000,-2.013845
40.5858,-8.0000,-2.016404
40.3766,-8.0000,-2.013895
42.4686,-8.0000,-2.026117
0.4184,-7.7895,-1.611272
40.7950,-8.0000,-2.017792
2.0921,-7.7895,-1.611272
41.2134,-8.0000,-2.020275
41.8410,-8.0000,-2.023446
41.0042,-8.0000,-2.019028
11.2971,-7.7895,-1.611272
1.4644,-7.7895,-1.611272
2.7197,-7.7895,-1.611272
0.8368,-7.7895,-1.611272
4.8117,-7.7895,-1.611272
4.1841,-7.7895,-1.611272
1.6736,-7.7895,-1.611272
6.4854,-7.7895,-1.611272
2.3013,-7.7895,-1.611272
42.2594,-8.0000,-2.025347
42.0502,-8.0000,-2.024535
3.3473,-7.7895,-1.611272
47.4895,-8.0000,-2.078061
45.1883,-8.0000,-2.054449
4.3933,-7.7895,-1.611272
16.7364,-7.7895,-1.611272
49.5816,-8.0000,-2.094782
47.2803,-8.0000,-2.076113
3.7657,-7.7895,-1.611272
46.4435,-8.0000,-2.068708
11.5063,-7.7895,-1.611272
7.1130,-7.7895,-1.611272
0.2092,-7.7895,-1.611272
15.8996,-7.7895,-1.611272
43.9331,-8.0000,-2.040663
1.0460,-7.7895,-1.611272
46.8619,-8.0000,-2.072541
15.2720,-7.7895,-1.611272
6.0669,-7.7895,-1.611272
43.7238,-8.0000,-2.038024
1.2552,-7.7895,-1.611272
16.3180,-7.7895,-1.611272
49.1632,-8.0000,-2.091971
47.0711,-8.0000,-2.074084
5.2301,-7.7895,-1.611272
13.5983,-7.7895,-1.611272
18.4100,-7.7895,-1.611272
48.3264,-8.0000,-2.085241
44.3515,-8.0000,-2.043690
12.1339,-7.7895,-1.611272
16.9456,-7.7895,-1.611272
9.4142,-7.7895,-1.611272
5.4393,-7.7895,-1.611272
42.6778,-8.0000,-2.026811
44.5607,-8.0000,-2.046903
43.5146,-8.0000,-2.035084
46.2343,-8.0000,-2.066521
7.5314,-7.7895,-1.611272
13.8075,-7.7895,-1.611272
5.0209,-7.7895,-1.611272
45.6067,-8.0000,-2.059280
6.6946,-7.7895,-1.611272
5.8577,-7.7895,-1.611272
41.4226,-8.0000,-2.021341
18.2008,-7.7895,-1.611272
11.9247,-7.7895,-1.611272
18.6192,-7.7895,-1.611272
43.0962,-8.0000,-2.029841
14.4351,-7.7895,-1.611272
46.0251,-8.0000,-2.064150
49.7908,-8.0000,-2.096831
0.6276,-7.7895,-1.611272
7.9498,-7.7895,-1.611272
17.3640,-7.7895,-1.611272
12.5523,-7.7895,-1.611272
41.6318,-8.0000,-2.022406
48.9540,-8.0000,-2.090467
9.2050,-7.7895,-1.611272
21.9665,-7.7895,-1.611272
10.2510,-7.7895,-1.611272
8.3682,-7.7895,-1.611272
14.2259,-7.7895,-1.611272
8.1590,-7.7895,-1.611272
13.1799,-7.7895,-1.611272
44.9791,-8.0000,-2.052122
3.1381,-7.7895,-1.611272
5.6485,-7.7895,-1.611272
25.1046,-7.7895,-1.611272
50.0000,-8.0000,-2.098985
10.4603,-7.7895,-1.611272
17.7824,-7.7895,-1.611272
8.5774,-7.7895,-1.611272
9.6234,-7.7895,-1.611272
42.8870,-8.0000,-2.027678
12.7615,-7.7895,-1.611272
3.5565,-7.7895,-1.611272
23.4310,-7.7895,-1.611272
44.7699,-8.0000,-2.049637
8.9958,-7.7895,-1.611272
19.2469,-7.7895,-1.611272
14.0167,-7.7895,-1.611272
48.5356,-8.0000,-2.086953
17.5732,-7.7895,-1.611272
6.9038,-7.7895,-1.611272
9.8326,-7.7895,-1.611272
11.7155,-7.7895,-1.611272
15.0628,-7.7895,-1.611272
14.8536,-7.7895,-1.611272
48.7448,-8.0000,-2.088747
11.0879,-7.7895,-1.611272
23.0126,-7.7895,-1.611272
44.1423,-8.0000,-2.041817
2.9289,-7.7895,-1.611272
25.5230,-7.7895,-1.611272
22.3849,-7.7895,-1.611272
20.9205,-7.7895,-1.611272
22.8033,-7.7895,-1.611272
15.6904,-7.7895,-1.611272
19.8745,-7.7895,-1.611272
7.3222,-7.7895,-1.611272
24.0586,-7.7895,-1.611272
3.9749,-7.7895,-1.611272
6.2762,-7.7895,-1.611272
13.3891,-7.7895,-1.611272
46.6527,-8.0000,-2.070660
43.3054,-8.0000,-2.032405
2.5105,-7.7895,-1.611272
7.7406,-7.7895,-1.611272
26.1506,-7.7895,-1.611272
45.3975,-8.0000,-2.056941
8.7866,-7.7895,-1.611272
22.1757,-7.7895,-1.611272
20.2929,-7.7895,-1.611272
47.9079,-8.0000,-2.081517
10.8787,-7.7895,-1.611272
16.5272,-7.7895,-1.611272
10.0418,-7.7895,-1.611272
47.6987,-8.0000,-2.079868
12.3431,-7.7895,-1.611272
1.8828,-7.7895,-1.611272
18.8285,-7.7895,-1.611272
20.5021,-7.7895,-1.611272
45.8159,-8.0000,-2.061575
48.1172,-8.0000,-2.083463
29.2887,-7.7895,-1.611272
23.6402,-7.7895,-1.611272
27.6151,-7.7895,-1.611272
10.6695,-7.7895,-1.611272
27.8243,-7.7895,-1.611272
12.9707,-7.7895,-1.611272
49.3724,-8.0000,-2.093256
4.6025,-7.7895,-1.611272
27.4059,-7.7895,-1.611272
29.0795,-7.7895,-1.611272
15.4812,-7.7895,-1.611272
19.6653,-7.7895,-1.611272
29.9163,-7.7895,-1.611272
21.7573,-7.7895,-1.611272
26.9874,-7.7895,-1.611272
24.6862,-7.7895,-1.611272
21.5481,-7.7895,-1.611272
21.1297,-7.7895,-1.611272
23.2218,-7.7895,-1.611272
14.6444,-7.7895,-1.611272
26.3598,-7.7895,-1.611272
17.1548,-7.7895,-1.611272
26.5690,-7.7895,-1.611272
28.8703,-7.7895,-1.611272
24.2678,-7.7895,-1.611272
24.4770,-7.7895,-1.611272
21.3389,-7.7895,-1.611272
29.4979,-7.7895,-1.611272
24.8954,-7.7895,-1.611272
20.0837,-7.7895,-1.611272
29.7071,-7.7895,-1.611272
19.4561,-7.7895,-1.611272
23.8494,-7.7895,-1.611272
20.7113,-7.7895,-1.611272
16.1088,-7.7895,-1.611272
17.9916,-7.7895,-1.611272
28.2427,-7.7895,-1.611272
28.6611,-7.7895,-1.611272
25.3138,-7.7895,-1.611272
25.7322,-7.7895,-1.611272
26.7782,-7.7895,-1.611272
30.3347,-7.7895,-1.611272
30.1255,-7.7895,-1.611272
22.5941,-7.7895,-1.611272
19.0377,-7.7895,-1.611272
27.1967,-7.7895,-1.611272
28.4519,-7.7895,-1.611272
25.9414,-7.7895,-1.611272
28.0335,-7.7895,-1.611272
0.0000,-7.5789,0.000074
30.5439,-7.7895,-1.611272
31.5900,-7.7895,-1.611272
30.7531,-7.7895,-1.611272
30.9623,-7.7895,-1.611272
32.0084,-7.7895,-1.611272
33.2636,-7.7895,-1.611272
33.6820,-7.7895,-1.611272
32.6360,-7.7895,-1.611272
32.2176,-7.7895,-1.611272
31.1715,-7.7895,-1.611272
35.5649,-7.7895,-1.611272
32.8452,-7.7895,-1.611272
34.1004,-7.7895,-1.611272
33.0544,-7.7895,-1.611272
35.3556,-7.7895,-1.611272
31.3808,-7.7895,-1.611272
34.7280,-7.7895,-1.611272
34.5188,-7.7895,-1.611272
32.4268,-7.7895,-1.611272
37.8661,-7.7895,-1.611272
41.2134,-7.7895,-2.015300
35.7741,-7.7895,-1.611272
31.7992,-7.7895,-1.611272
35.9833,-7.7895,-1.611272
36.4017,-7.7895,-1.611272
36.1925,-7.7895,-1.611272
33.4728,-7.7895,-1.611272
34.3096,-7.7895,-1.611272
36.6109,-7.7895,-1.611272
39.1213,-7.7895,-2.003339
34.9372,-7.7895,-1.611272
37.4477,-7.7895,-1.611272
36.8201,-7.7895,-1.611272
4.8117,-7.5789,-1.602930
